"GSM3478634"	"GSM3478635"	"GSM3478636"	"GSM3478637"	"GSM3478638"	"GSM3478639"	"GSM3478640"	"GSM3478641"	"GSM3478642"	"GSM3478643"	"GSM3478644"	"GSM3478645"
"ABR"	7.2811785	7.1433015	7.2794345	7.4646245	7.5466625	7.3864805	7.8699055	8.0565895	7.983459	8.3683525	8.395711	8.4046615
"ABRA"	2.0922325	2.022241	2.248358	2.2112915	2.1917585	2.291915	2.217621	2.2339825	2.180592	2.292593	2.237433	2.096831
"ABRACL"	8.421083	9.061216	8.60063	9.136945	9.245481	9.351845	9.328566	9.156	9.025789	10.15449	10.10006	9.990236
"ABT1"	8.541262	8.254094	8.352332	8.458044	8.39294	8.426953	7.590543	7.592235	7.537459	7.438887	7.359447	7.46063
"ABTB1"	4.5634682	4.2340532	4.4313958	4.5365942	4.4517944	4.64805	4.2633208	4.2947274	4.2723102	4.423444	4.500819	4.3944788
"ABTB2"	6.167651	5.991634	6.104149	6.127843	6.313245	6.118487	5.554135	5.5371515	5.576976	5.8169115	5.826853	5.768855
"AC000111.3"	1.894703	1.982453	1.990299	1.723162	1.851726	1.781062	1.917984	1.961382	1.881953	1.836344	1.801229	1.718482
"AC002059.10"	4.078105	4.080761	4.261261	3.96493	3.917951	4.624566	4.102406	4.105674	3.995591	3.950423	3.743041	4.156868
"AC002064.5"	2.839151	2.61872	2.691759	2.836082	2.819899	2.8726	2.840199	2.68315	2.950355	2.921635	3.016762	2.72467
"AC002310.12 /// AK056973"	5.209626	4.918847	5.197427	5.636039	5.710985	5.777511	4.466582	4.366378	4.479798	5.362189	5.232985	5.3148
"AC002310.7 /// ZNF785"	4.359252	3.695279	4.37163	4.410512	4.165407	4.029796	3.318561	3.585027	3.682771	3.47882	3.665916	3.72625
"AC003973.4"	2.930369	3.028159	3.265475	3.184034	3.083954	3.286232	3.205473	3.150806	3.084764	3.419124	3.25301	3.358481
"AC003986.5 /// BC043576"	3.830345	4.242205	4.256663	4.115323	4.295014	4.295014	4.443598	4.369026	4.672796	4.222948	4.37388	4.173803
"AC003989.4"	6.406713	6.257947	5.936159	6.148067	6.067522	6.049842	5.652836	5.700144	5.923586	5.984723	5.705061	5.95074
"AC004158.3 /// AK055364"	2.432263	2.431478	2.638996	2.613641	2.381881	2.532214	2.671787	2.340066	2.614095	2.480746	2.54217	2.647072
"AC004490.1 /// AX746733"	3.071022	2.889352	2.80917	3.26702	3.049014	3.614748	2.744999	3.046287	2.909069	2.929276	2.956967	3.059884
"AC004538.3 /// BC040327"	2.820644	2.603555	2.815867	2.458427	2.81152	2.558744	3.512546	3.052777	3.129291	2.807726	3.009053	2.774568
"AC004692.5"	6.282813	6.401371	6.305641	6.57664	6.639422	6.588593	5.578792	5.655097	5.592978	5.839033	5.745667	5.737337
"AC004941.5"	8.306577	8.536311	8.235697	8.187892	8.534838	8.572764	7.975055	8.225943	7.931877	8.490251	8.409153	8.608097
"AC004951.6 /// AX747182"	7.066914	6.676351	6.614598	7.560435	7.460533	7.408972	7.61906	7.661397	7.621901	7.505332	7.579961	7.651185
"AC005162.4"	4.218992	4.209661	4.060107	3.84958	3.87191	3.790951	4.142283	4.222183	4.135278	4.204694	4.287016	4.076329
"AC005224.2"	3.182251	3.706393	3.423551	4.041643	4.040406	3.494041	3.53871	3.246583	3.016266	3.333398	3.462764	3.328382
"AC005256.1"	5.641454	4.640508	4.505047	4.782586	4.431766	4.47282	4.638413	4.422734	4.505047	4.330637	4.333879	4.494715
"AC005306.3"	5.496905	4.679284	4.689628	4.878651	5.314944	5.262054	4.803804	4.797394	4.639383	4.833578	4.464456	4.767374
"AC005498.3"	3.17638	3.664279	4.041643	3.061716	3.13715	3.247515	3.392242	3.671098	3.328422	3.124344	3.505792	3.371904
"AC005523.2"	5.8185	5.375422	5.843404	6.02335	5.897659	5.962918	5.1478	5.11221	5.013521	5.481051	5.45268	5.437989
"AC005523.3"	5.691	5.033852	4.965167	5.160913	5.054884	4.939523	4.649884	4.98692	4.902652	4.475613	4.862254	4.919063
"AC005537.2"	2.372635	2.617107	2.397599	2.380061	2.434572	2.328813	2.249986	2.372635	2.412651	2.604417	2.478394	2.41012
"AC005592.3"	3.370393	2.815056	2.605599	2.474445	2.947395	2.77408	2.688617	2.585171	2.961206	2.764173	2.674616	2.782421
"AC005606.14"	3.832172	3.90156	3.706574	3.476474	3.918298	3.775902	3.476474	3.719432	3.595322	3.732351	3.407772	3.730429
"AC005754.7 /// BC016751"	2.680876	2.516148	2.872016	2.567019	2.683149	2.522781	2.563633	2.665463	2.591241	2.683149	2.540372	2.613861
"AC005785.2"	4.163684	4.250902	4.459003	3.9799	4.095326	4.510644	4.312227	4.420541	4.149403	4.129244	4.482296	4.471882
"AC005838.2"	2.748742	2.531071	2.526191	2.622573	2.59325	2.58506	3.096084	2.926395	2.758701	2.744283	2.759606	2.567238
"AC006026.13"	4.113592	3.898463	3.690535	3.868722	4.439583	3.98961	3.535232	3.358793	3.582551	4.28496	4.209731	4.348953
"AC006129.2"	2.40727	2.486218	2.417383	2.440261	2.170768	2.10253	2.200212	2.169575	2.169575	2.090183	2.180259	2.08315
"AC006538.1"	3.355635	3.736073	3.305033	3.234101	3.378461	3.568419	3.213832	3.11316	2.966213	3.283575	3.070381	3.074003
"AC007228.11 /// BX647249"	3.776472	3.752735	4.133138	4.142423	3.73727	4.07589	4.642724	4.356553	4.60941	4.453855	4.71276	4.68415
"AC007255.8 /// BC038570"	4.27237	4.091895	4.064903	4.328736	3.993684	4.385641	3.873634	4.067626	4.131905	4.06904	4.131879	3.834526
"AC007292.3"	5.604556	5.361656	5.367034	5.486078	5.384603	5.507477	5.007422	5.171326	5.461278	4.967809	5.348927	5.288005
"AC007349.5"	2.503314	2.30084	2.247841	2.445926	2.591897	2.385442	2.215509	2.158259	2.507343	2.224062	2.465551	2.13472
"AC007362.3"	3.26352466666667	3.13983433333333	3.23522	3.20897866666667	3.219253	3.23938633333333	3.036169	3.06557333333333	3.11365066666667	2.92710033333333	2.87359833333333	2.62747
"AC007364.1 /// FLJ32955"	2.509328	2.563673	3.068691	2.767027	2.697891	2.898801	3.072391	3.033031	2.801299	2.932413	2.808814	2.933126
"AC007365.3"	4.099342	4.130245	4.85265	4.259915	4.691118	4.745146	4.170797	4.471299	4.02771	4.206495	4.272949	4.417585
"AC007389.3"	3.583077	3.952992	4.220022	4.195032	3.678738	4.016978	4.459354	4.301333	4.18613	4.419989	4.370818	4.085115
"AC007401.2"	3.261839	2.600521	2.526191	3.140577	2.673187	2.745029	2.60976	2.771982	3.051436	2.691537	2.565752	2.688167
"AC007557.2 /// BC031974"	2.552161	2.536453	2.271899	2.607772	2.534324	2.258161	2.589311	2.611506	2.452011	2.526261	2.411657	2.606918
"AC007680.2"	2.993385	2.929059	3.060912	3.189063	3.011714	2.998077	3.160239	2.960054	3.281154	3.051032	3.00603	3.051032
"AC007787.2"	3.852356	4.174258	4.150208	4.009275	3.892869	4.033206	3.964492	3.756958	3.723814	3.87302	4.039219	3.967076
"AC007967.3 /// RBMY2TP /// RBMY2TP"	5.908628	5.202345	5.549878	5.34812	5.468563	5.44992	5.308232	5.331533	5.384071	5.192152	5.213855	5.321721
"AC008088.4"	6.409678	6.029464	6.379176	7.131991	6.93154	7.038008	4.776351	4.790378	4.63558	5.131654	5.009432	5.104296
"AC008746.12"	3.778451	3.698314	3.67874	4.013352	3.959701	3.831066	3.564229	3.821658	3.691019	3.86761	4.09161	4.268543
"AC008753.4"	5.531875	5.011902	5.203488	5.341073	5.149426	4.963132	4.826895	4.690442	4.867582	4.599961	4.842086	4.665989
"AC009120.6"	6.524125	6.187687	6.11064	6.431327	6.435446	6.43684	6.290912	6.172378	6.412384	5.955238	6.115882	6.083179
"AC009133.15"	5.092678	4.994645	5.299853	5.178937	5.168908	5.236135	4.457928	4.495802	4.311863	4.571084	4.864886	4.846598
"AC009237.8 /// AK055967"	6.207399	5.599618	5.697984	5.57202	5.472068	5.166739	6.042704	6.1083	6.4042	6.639837	7.023713	7.03806
"AC009502.4"	4.286835	4.334614	4.327507	4.302086	4.230744	4.302086	4.438866	4.436029	4.679651	4.727583	4.656961	4.595295
"AC009947.3 /// RBMY2AP /// RBMY2AP /// RBMY2BP /// RBMY2BP /// RBMY2DP /// RBMY2DP"	2.606231	2.47773	2.862098	2.562892	2.588395	2.802092	2.643381	2.762202	2.672709	2.572295	2.915671	2.682203
"AC010095.5 /// RP13-1039J1.3"	2.691216	3.140092	3.49166	3.311006	3.11073	3.071272	2.702713	2.629735	2.885402	2.575627	2.850111	2.512992
"AC010145.3 /// MYCNUN"	3.335866	3.976533	3.916938	3.900106	3.894978	3.840353	3.824495	3.783771	3.929774	3.76056	3.695394	3.708965
